Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Avg_VTAT,Avg_CTAT,Cancelled_Rides_by_Customer,Reason_for_cancelling_by_Customer,Cancelled_Rides_by_Driver,Cancelled_by_Driver_Reason,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Ride_Distance,Driver_Ratings,Customer_Rating,Payment_Type
2025-08-25,16:54:50,CNR1000794,Incomplete,EXP8028,Auto Sharing,Jacaranda,Huda City Centre,0.0,0.0,0.0,,0.0,,1.0,Other Issue,0.0,0.0,,,
2025-08-19,10:01:02,CNR1001380,Success,IND2444,Auto Sharing,Sector 23,Sector 46,4.7,19.8,0.0,,0.0,,0.0,,296.46,23.12,4.9,4.1,Wallet
2025-08-20,19:36:11,CNR1001699,Success,EXP9905,Auto,DLF Phase 5,Sector 47,5.8,15.0,0.0,,0.0,,0.0,,615.16,18.38,3.1,5.0,Cash
2025-08-05,20:43:14,CNR1001803,Success,IND7657,Cab Premium,Ardee City,Golf Course Road,9.8,25.5,0.0,,0.0,,0.0,,204.37,22.71,5.0,3.3,Card
2025-08-10,20:29:26,CNR1002067,Success,EXP3404,Bike Lite,DLF Phase 4,Sector 31,13.6,29.6,0.0,,0.0,,0.0,,419.724,14.51,4.0,4.5,UPI
2025-08-13,09:49:16,CNR1004290,Incomplete,IND8585,Bike Lite,Rosewood City,DLF Phase 4,0.0,0.0,0.0,,0.0,,1.0,Customer Demand,0.0,0.0,,,
2025-08-30,13:15:29,CNR1006076,Success,EXP4673,Cab Premium,Cyber City,Sector 32,11.7,19.4,0.0,,0.0,,0.0,,646.008,7.87,3.4,4.5,Wallet
2025-08-08,23:17:36,CNR1010736,Cancelled by Customer,IND2425,Bike,South City 1,South City 2,0.0,0.0,1.0,Change of plans,0.0,,0.0,,0.0,0.0,,,
2025-08-11,21:31:26,CNR1011357,Incomplete,IND5504,Auto Sharing,Sohna Road,Palam Vihar,0.0,0.0,0.0,,0.0,,1.0,Other Issue,0.0,0.0,,,
2025-08-31,04:21:55,CNR1011752,Success,EXP6972,Bike Lite,Sector 18,IFFCO Chowk,12.1,23.7,0.0,,0.0,,0.0,,412.704,7.9,3.5,4.9,Wallet
